taxonID,scientificName,vernacularName,scientificNameAuthority,primaryDiscipline,establishmentMeans,taxonRank,speciesGroup,ffgactstatus,epbcactStatus,vicadvisorystatus,restrictedFlag,modified,extractDate,status,sourceStatus
500011,Acacia argyrophylla,Silver Mulga,Hook.,Flora,,species,Dicotyledons,Extinct,,Presumed extinct,,2010-09-16,2023-01-16,Extinct,Extinct
507308,Acacia aspera subsp. parviceps,Rough Wattle,N.G. Walsh,Flora,,species,Dicotyledons,Endangered,,Rare,,2018-10-03,2023-01-16,Endangered,Endangered
500013,Acacia ausfeldii,Ausfeld's Wattle,Regel,Flora,,species,Dicotyledons,Endangered,,Vulnerable,,2017-01-19,2023-01-16,Endangered,Endangered
503635,Acacia binervia,Coast Myall,(J.C. Wendl.) J.F. Macbr.,Flora,,species,Dicotyledons,Critically Endangered,,Endangered,,2019-03-04,2023-01-16,Critically Endangered,Critically Endangered
500016,Acacia boormanii,Snowy River Wattle,Maiden,Flora,Native but some stands may be alien,species,Dicotyledons,Endangered,,Rare,,2020-05-12,2023-01-16,Endangered,Endangered
503633,Acacia caerulescens,Limestone Blue Wattle,Maslin & Court,Flora,,species,Dicotyledons,Endangered,Vulnerable,Vulnerable,,2018-10-05,2023-01-16,Endangered,Endangered
505959,Acacia cineramis,Smooth Nealie,H.K. Orel,Flora,,species,Dicotyledons,Critically Endangered,,Vulnerable,,2020-07-01,2023-01-16,Critically Endangered,Critically Endangered
500022,Acacia colletioides,Wait-a-while,Benth.,Flora,,species,Dicotyledons,Endangered,,Rare,,2016-07-18,2023-01-16,Endangered,Endangered
504524,Acacia cupularis,Cup Wattle,Domin,Flora,Native but some stands may be alien,species,Dicotyledons,Critically Endangered,,Rare,,2017-07-17,2023-01-16,Critically Endangered,Critically Endangered
500023,Acacia dallachiana,Catkin Wattle,F. Muell.,Flora,,species,Dicotyledons,Vulnerable,,Rare,,2017-04-13,2023-01-16,Vulnerable,Vulnerable
505889,Acacia daviesii,Timbertop Wattle,Bartolome,Flora,,species,Dicotyledons,Critically Endangered,,Vulnerable,,2017-11-22,2023-01-16,Critically Endangered,Critically Endangered
500024,Acacia dawsonii,Poverty Wattle,R.T. Baker,Flora,,species,Dicotyledons,Vulnerable,,Vulnerable,,2010-09-16,2023-01-16,Vulnerable,Vulnerable
504238,Acacia deanei subsp. deanei,Deane's Wattle,"(R.T. Baker) M.B.Welch, Coombs & McGlynn",Flora,,species,Dicotyledons,Endangered,,Endangered,,2021-10-13,2023-01-16,Endangered,Endangered
504201,Acacia deanei subsp. paucijuga,Deane's Wattle,(F. Muell. ex N.A. Wakef.) Tindale,Flora,,species,Dicotyledons,Vulnerable,,Rare,,2016-05-05,2023-01-16,Vulnerable,Vulnerable
