taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,Significant,Confidential,status,Endemicity,EPBC Status
1856,Animalia,Aves,Scolopacidae,Calidris tenuirostris,great knot,"(Horsfield, 1821)",CR,Y,N,Critically Endangered,Not Endemic to Australia,Critically Endangered
1857,Animalia,Aves,Scolopacidae,Gallinago hardwickii,Latham's snipe,"(Gray, 1831)",SL,Y,N,Special least concern,Not Endemic to Australia,
1858,Animalia,Aves,Scolopacidae,Gallinago megala,Swinhoe's snipe,"Swinhoe, 1861",SL,Y,N,Special least concern,Vagrant (Unknown),
1865,Animalia,Aves,Scolopacidae,Limnodromus semipalmatus,Asian dowitcher,"(Blyth, 1848)",SL,Y,N,Special least concern,Not Endemic to Australia,
1867,Animalia,Aves,Scolopacidae,Limosa lapponica baueri,Western Alaskan bar-tailed godwit,"Naumann, 1836",V,Y,N,Vulnerable,Not Endemic to Australia,Vulnerable
1855,Animalia,Aves,Scolopacidae,Limosa limosa,black-tailed godwit,"(Linnaeus, 1758)",SL,Y,N,Special least concern,Not Endemic to Australia,
1843,Animalia,Aves,Scolopacidae,Numenius madagascariensis,eastern curlew,"(Linnaeus, 1766)",E,Y,N,Endangered,Not Endemic to Australia,Critically Endangered
1844,Animalia,Aves,Scolopacidae,Numenius minutus,little curlew,"Gould, 1841",SL,Y,N,Special least concern,Not Endemic to Australia,
1845,Animalia,Aves,Scolopacidae,Numenius phaeopus,whimbrel,"(Linnaeus, 1758)",SL,Y,N,Special least concern,Not Endemic to Australia,
1847,Animalia,Aves,Scolopacidae,Phalaropus lobatus,red-necked phalarope,"(Linnaeus, 1758)",SL,Y,N,Special least concern,Vagrant (Unknown),
1860,Animalia,Aves,Scolopacidae,Tringa brevipes,grey-tailed tattler,"(Vieillot, 1816)",SL,Y,N,Special least concern,Not Endemic to Australia,
1852,Animalia,Aves,Scolopacidae,Tringa glareola,wood sandpiper,"Linnaeus, 1758",SL,Y,N,Special least concern,Not Endemic to Australia,
1861,Animalia,Aves,Scolopacidae,Tringa incana,wandering tattler,"(Gmelin, 1789)",SL,Y,N,Special least concern,Not Endemic to Australia,
1853,Animalia,Aves,Scolopacidae,Tringa nebularia,common greenshank,"(Gunnerus, 1767)",SL,Y,N,Special least concern,Not Endemic to Australia,
1841,Animalia,Aves,Scolopacidae,Tringa stagnatilis,marsh sandpiper,"(Bechstein, 1803)",SL,Y,N,Special least concern,Not Endemic to Australia,
18831,Animalia,Aves,Scolopacidae,Tringa totanus,common redshank,"(Linnaeus, 1758)",SL,Y,N,Special least concern,Vagrant (Unknown),
1827,Animalia,Aves,Scolopacidae,Xenus cinereus,terek sandpiper,"(Guldenstadt, 1775)",SL,Y,N,Special least concern,Not Endemic to Australia,
1092,Animalia,Aves,Turnicidae,Turnix melanogaster,black-breasted button-quail,"(Gould, 1837)",V,Y,N,Vulnerable,Intranational,Vulnerable
1093,Animalia,Aves,Turnicidae,Turnix olivii,buff-breasted button-quail,"Robinson, 1900",CR,Y,Y,Critically Endangered,Queensland Endemic,Endangered
1935,Animalia,Aves,Glareolidae,Glareola maldivarum,oriental pratincole,"Forster, 1795",SL,Y,N,Special least concern,Not Endemic to Australia,
