scientificName,vernacularName,family,genus,status,sourceStatus
Oriolus sagittatus sagittatus,Olive-backed Oriole,ORIOLIDAE,Oriolus,Rare,R
Myiagra cyanoleuca,Satin Flycatcher,MONARCHIDAE,Myiagra,Endangered,E
Myiagra inquieta,Restless Flycatcher,MONARCHIDAE,Myiagra,Rare,R
Corcorax melanorhamphos,White-winged Chough,CORCORACIDAE,Corcorax,Rare,R
Melanodryas cucullata cucullata,"Hooded Robin (YP, MN, AP, MLR, MM, SE)",PETROICIDAE,Melanodryas,Rare,R
Microeca fascinans fascinans,"Jacky Winter (MLR, SE)",PETROICIDAE,Microeca,Rare,R
Petroica boodang boodang,Scarlet Robin,PETROICIDAE,Petroica,Rare,R
Petroica phoenicea,Flame Robin,PETROICIDAE,Petroica,Vulnerable,V
Poodytes carteri,Spinifexbird,LOCUSTELLIDAE,Poodytes,Endangered,E
Zoothera lunulata,Bassian Thrush,TURDIDAE,Zoothera,Rare,R
Emblema pictum,Painted Finch,ESTRILDIDAE,Emblema,Rare,R
Stagonopleura bella,Beautiful Firetail,ESTRILDIDAE,Stagonopleura,Rare,R
Stagonopleura guttata,Diamond Firetail,ESTRILDIDAE,Stagonopleura,Vulnerable,V
Chelodina expansa,Broadshelled Turtle,CHELIDAE,Chelodina,Vulnerable,V
Emydura macquarii,Macquarie River Turtle,CHELIDAE,Emydura,Vulnerable,V
Caretta caretta,Loggerhead Sea Turtle,CHELONIIDAE,Caretta,Endangered,E
Chelonia mydas,Green Sea Turtle,CHELONIIDAE,Chelonia,Vulnerable,V
Dermochelys coriacea,Leatherback Turtle,DERMOCHELYIDAE,Dermochelys,Vulnerable,V
Nephrurus deleani,Pernatty Knob-tailed Gecko,CARPHODACTYLIDAE,Nephrurus,Rare,R
Diplodactylus pulcher,Patchwork Gecko,DIPLODACTYLIDAE,Diplodactylus,Rare,R
Lucasium steindachneri,Map Gecko,DIPLODACTYLIDAE,Lucasium,Rare,R
Oedura cincta,Banded Velvet Gecko,DIPLODACTYLIDAE,Oedura,Rare,R
Aprasia aurita,Eared Worm-lizard,PYGOPODIDAE,Aprasia,Endangered,E
Delma borea,Northern Snake-lizard,PYGOPODIDAE,Delma,Rare,R
Delma impar,Striped Snake-lizard,PYGOPODIDAE,Delma,Endangered,E
Ophidiocephalus taeniatus,Bronzeback Legless Lizard,PYGOPODIDAE,Ophidiocephalus,Rare,R
Acritoscincus trilineatus,Western Three-lined Skink,SCINCIDAE,Acritoscincus,Rare,R
Anepyschetosia maccoyi,Salamander Skink,SCINCIDAE,Anepyschetosia,Endangered,E
Austroblepharus kinghorni,Blacksoil Skink,SCINCIDAE,Austroblepharus,Rare,R
Ctenotus astarte,Ashy Downs Ctenotus,SCINCIDAE,Ctenotus,Rare,R
Ctenotus grandis,Giant Desert Ctenotus,SCINCIDAE,Ctenotus,Rare,R
Ctenotus greeri,Greer's Ctenotus,SCINCIDAE,Ctenotus,Rare,R
Ctenotus joanae,Blacksoil Ctenotus,SCINCIDAE,Ctenotus,Rare,R
Ctenotus piankai,Paleface Ctenotus,SCINCIDAE,Ctenotus,Rare,R
Egernia cunninghami,Cunningham's Skink,SCINCIDAE,Egernia,Endangered,E
