id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,sourceStatus
4391935,Scleria sp. B Kimberley Flora (C.R. Dunlop 5409),,Scleria sp. B Kimberley Flora (C.R.Dunlop 5409),https://id.biodiversity.org.au/node/apni/2901717,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4393283,Scleria sp. C Kimberley Flora (K.F. Kenneally 4873),,Scleria sp. C Kimberley Flora (K.F.Kenneally 4873),https://id.biodiversity.org.au/node/apni/2917269,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4392780,Sclerolaena sp. Koolanooka Hills (R. Meissner & Y. Caruso 437),,Sclerolaena sp. Koolanooka Hills (R. Meissner & Y. Caruso 437),ALA_DR2201_3062,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4393181,Sclerolaena stylosa,,Sclerolaena stylosa,https://id.biodiversity.org.au/node/apni/2907768,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4394151,Scleroschoenus glabrispiculus,,Scleroschoenus glabrispiculus,https://id.biodiversity.org.au/name/apni/51389609,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4390463,Scleroschoenus quadricostatus,,Scleroschoenus quadricostatus,https://id.biodiversity.org.au/name/apni/51389615,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4393239,Scleroschoenus ramosus,,Scleroschoenus ramosus,https://id.biodiversity.org.au/name/apni/51389618,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4394241,Scyphiphora hydrophylacea,Yamstick Mangrove,Scyphiphora hydrophylacea,https://id.biodiversity.org.au/node/apni/2910645,dr2201,"[{'key': 'status', 'value': 'Priority 3: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P3'}]",Priority 3: Poorly-known species,P3
4394741,Selaginella pygmaea,Swamp Clubmoss,Selaginella pygmaea,https://id.biodiversity.org.au/node/apni/2896452,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4391762,Senecio gilbertii,,Senecio gilbertii,https://id.biodiversity.org.au/node/apni/2901626,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4394141,Senecio leucoglossus,,Senecio leucoglossus,https://id.biodiversity.org.au/node/apni/2903975,dr2201,"[{'key': 'status', 'value': 'Priority 4: Rare, Near Threatened'}, {'key': 'sourceStatus', 'value': 'P4'}]","Priority 4: Rare, Near Threatened",P4
4391087,Senecio microbasis,Slender Fireweed,Senecio microbasis,https://id.biodiversity.org.au/node/apni/2918018,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
4390520,Senecio oldfieldii,,Senecio oldfieldii,https://id.biodiversity.org.au/node/apni/2896260,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4390881,Senecio pinnatifolius var. leucocarpus,,Senecio pinnatifolius var. leucocarpus,https://id.biodiversity.org.au/node/apni/2890241,dr2201,"[{'key': 'status', 'value': 'Priority 2: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P2'}]",Priority 2: Poorly-known species,P2
4394705,Senecio serratiformis subsp. serratiformis,,Senecio serratiformis subsp. serratiformis,https://id.biodiversity.org.au/node/apni/2903555,dr2201,"[{'key': 'status', 'value': 'Priority 1: Poorly-known species'}, {'key': 'sourceStatus', 'value': 'P1'}]",Priority 1: Poorly-known species,P1
