"Supplied Name","guid","scientificName","family","kingdom","family","sourceStatus","status","Introduced  Status"
"Acacia praetermissa  ","https://id.biodiversity.org.au/node/apni/2894855","Acacia praetermissa","Fabaceae",,,,"Vulnerable","Endemic to the N.T."
"Gomphrena involucrata  ","https://id.biodiversity.org.au/node/apni/2904987","Gomphrena involucrata","Amaranthaceae",,,,"Data Deficient","Endemic to the N.T."
"Epinephelus heniochus","urn:lsid:biodiversity.org.au:afd.taxon:cd14b8a5-2da4-419f-a62c-0e5008bb6e1a","Epinephelus heniochus","Serranidae",,,,"(not listed)","(not listed)"
"Argiocnemis rubescens","urn:lsid:biodiversity.org.au:afd.taxon:f4a6bd7e-6697-447d-a413-1faa9aacf255","Argiocnemis rubescens","Coenagrionidae",,,,"(not listed)","(not listed)"
"Helluodema unicolor","urn:lsid:biodiversity.org.au:afd.taxon:db00239d-84ac-498e-96f2-cbf1793f6445","Helluodema unicolor","Carabidae",,,,"(not listed)","(not listed)"
"Plicofollis argyropleuron","urn:lsid:biodiversity.org.au:afd.taxon:8b24520d-6026-4c89-b1f2-b70b849d3b4c","Plicofollis argyropleuron","Ariidae",,,,"(not listed)","(not listed)"
"Microcorys elliptica  ","https://id.biodiversity.org.au/node/apni/2906419","Microcorys elliptica","Lamiaceae",,,,"Data Deficient","Endemic to the N.T."
"Najas graminea  ","https://id.biodiversity.org.au/node/apni/2889452","Najas graminea","Hydrocharitaceae",,,,"Least Concern","(not listed)"
"Lerista aericeps","urn:lsid:biodiversity.org.au:afd.taxon:736178e6-4aa9-4c7b-b6af-daa04b16a496","Lerista aericeps","Scincidae",,,,"Least Concern","Native to the N.T."
"Alysicarpus ovalifolius  ","https://id.biodiversity.org.au/node/apni/2909637","Alysicarpus ovalifolius","Fabaceae",,,,"Least Concern","(not listed)"
"Synsphyronus absitus","urn:lsid:biodiversity.org.au:afd.taxon:63fbb93e-107d-48e0-a5c6-571f09af8bfa","Synsphyronus absitus","Garypidae",,,,"(not listed)","(not listed)"
"Cheilanthes sieberi subsp. pseudovellea","https://id.biodiversity.org.au/node/apni/2907348","Cheilanthes sieberi subsp. pseudovellea","Pteridaceae",,,,"Least Concern","Native to the N.T."
"Sphex fumipennis","urn:lsid:biodiversity.org.au:afd.taxon:7dace421-a63b-43b3-9599-fb638fdc603b","Sphex fumipennis","Sphecidae",,,,"(not listed)","(not listed)"
"Dalbergia candenatensis  ","https://id.biodiversity.org.au/node/apni/2891456","Dalbergia candenatensis","Fabaceae",,,,"Least Concern","Native to the N.T."
"Dubouzetia australiensis  ","https://id.biodiversity.org.au/node/apni/2911558","Dubouzetia australiensis","Elaeocarpaceae",,,,"Near Threatened","Endemic to the N.T."
"Goodenia scaevolina  ","https://id.biodiversity.org.au/node/apni/2895052","Goodenia scaevolina","Goodeniaceae",,,,"Least Concern","Native to the N.T."
"Ardozyga decaspila","urn:lsid:biodiversity.org.au:afd.taxon:8b9fc0c4-e6a4-4165-bf32-b0a2add9756b","Ardozyga decaspila","Gelechiidae",,,,"(not listed)","(not listed)"
"Phoracantha obscurus","urn:lsid:biodiversity.org.au:afd.taxon:ee2b104d-8591-4bd8-ab4e-5a2653e6179b","Phoracantha obscura","Cerambycidae",,,,"(not listed)","(not listed)"
"Scolopsis vosmeri","urn:lsid:biodiversity.org.au:afd.taxon:e08590ad-889d-4060-a393-ebc636ebc34f","Scolopsis vosmeri","Nemipteridae",,,,"(not listed)","(not listed)"
"Polysyncraton peristroma","urn:lsid:biodiversity.org.au:afd.taxon:027bab1e-a090-4d51-824a-4e2b950b0ae8","Polysyncraton peristroma","Didemnidae",,,,"(not listed)","(not listed)"
"Pisidia dispar","urn:lsid:biodiversity.org.au:afd.taxon:7887358e-3c36-4afc-a8d1-4498508f1ac5","Pisidia dispar","Porcellanidae",,,,"(not listed)","(not listed)"
"Catenicella elegans","urn:lsid:biodiversity.org.au:afd.taxon:d1641b86-6fdb-4211-ab15-be1ba01fe3bb","Catenicella elegans","Catenicellidae",,,,"(not listed)","(not listed)"
"Thalamita danae","urn:lsid:biodiversity.org.au:afd.taxon:4763a650-b463-4cab-9369-68b124ae462c","Thalamita danae","Portunidae",,,,"(not listed)","(not listed)"
"Oxycomanthus bennetti","urn:lsid:biodiversity.org.au:afd.taxon:6498f392-c840-4cb3-a44e-ce8d02a37a60","Anneissia bennetti","Comatulidae",,,,"(not listed)","(not listed)"
"Sida fibulifera  ","https://id.biodiversity.org.au/node/apni/2920093","Sida fibulifera","Malvaceae",,,,"Least Concern","Native to the N.T."
"Microcerotermes distinctus","urn:lsid:biodiversity.org.au:afd.taxon:9342b625-95b8-4ac2-b79b-a6ea11194c30","Microcerotermes distinctus","Termitidae",,,,"(not listed)","(not listed)"
"Milax gagates","urn:lsid:biodiversity.org.au:afd.taxon:27c98bb4-3bee-45cd-922b-f6332c242883","Milax gagates","Milacidae",,,,"(not listed)","(not listed)"
"Polyscias zippeliana  ","https://id.biodiversity.org.au/node/apni/6927686","Polyscias zippeliana","Araliaceae",,,,,"(not listed)"
"Rheotanytarsus gloveri","urn:lsid:biodiversity.org.au:afd.taxon:5be57896-08b4-48ef-be25-5c2d74c817b6","Rheotanytarsus gloveri","Chironomidae",,,,"(not listed)","(not listed)"
"Philemon citreogularis","urn:lsid:biodiversity.org.au:afd.taxon:d74442f8-8e1e-4300-90f8-a6bed241bacb","Philemon (Microphilemon) citreogularis","Meliphagidae",,,,"Least Concern","Native to the N.T."
"Trichonotus blochii","urn:lsid:biodiversity.org.au:afd.taxon:3f7cbf28-c776-44b5-890b-6ba5b7632f8a","Trichonotus blochii","Trichonotidae",,,,"(not listed)","(not listed)"
"Iseilema calvum  ","https://id.biodiversity.org.au/node/apni/2920285","Iseilema calvum","Poaceae",,,,"Data Deficient","(not listed)"
