Origin,Species,Authority,Common Name,Family,Group,sch,EPBCA,Flora/Fauna,Classification
end,Isoetes elatior,F.Muell. ex A.Braun,tall quillwort,Isoetaceae,Pteridophyta,r,,Flora,vascular
end,Isoetes humilior,F.Muell. ex A.Braun,veiled quillwort,Isoetaceae,Pteridophyta,r,,Flora,vascular
end,Isoetes sp. Maxwell River,(S.J.Jarman HO314082) Tas. Herbarium,limestone quillwort,Isoetaceae,Pteridophyta,r,,Flora,vascular
,Isoetopsis graminifolia,Turcz.,grass cushion,Asteraceae,Dicotyledonae,v,,Flora,vascular
,Isolepis habra,(Edgar) Soják ,wispy clubsedge,Cyperaceae,Monocotyledonae,r,,Flora,vascular
,Isolepis stellata,(C.B.Clarke) K.L.Wilson,star clubsedge,Cyperaceae,Monocotyledonae,r,,Flora,vascular
,Isopogon ceratophyllus,R.Br.,horny conebush,Proteaceae,Dicotyledonae,v,,Flora,vascular
,Juncus fockei,Buchenau,slender jointleaf rush,Juncaceae,Monocotyledonae,r,,Flora,vascular
,Juncus prismatocarpus,R.Br.,branching rush,Juncaceae,Monocotyledonae,r,,Flora,vascular
,Juncus vaginatus,R.Br.,clustered rush,Juncaceae,Monocotyledonae,r,,Flora,vascular
end,Lachnagrostis billardierei subsp. tenuiseta,(D.I.Morris) S.W.L.Jacobs,small-awn blowngrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Lachnagrostis punicea subsp. filifolia,(Vickery) S.W.L.Jacobs,narrowleaf blowngrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Lachnagrostis punicea subsp. punicea,(A.J.Br. & N.G.Walsh) S.W.L.Jacobs,bristle blowngrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Lachnagrostis robusta,(Vickery) S.W.L.Jacobs,tall blowngrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Lasiopetalum baueri,Steetz,slender velvetbush,Malvaceae,Dicotyledonae,r,,Flora,vascular
,Lasiopetalum discolor,Hook.,coast velvetbush,Malvaceae,Dicotyledonae,r,,Flora,vascular
end,Lasiopetalum micranthum,Hook.f.,tasmanian velvetbush,Malvaceae,Dicotyledonae,r,,Flora,vascular
t,Lepidium flexicaule,Kirk,springy peppercress,Brassicaceae,Dicotyledonae,r,,Flora,vascular
,Lepidium hyssopifolium,Desv.,soft peppercress,Brassicaceae,Dicotyledonae,e,EN,Flora,vascular
