,Taxon_Id,Kingdom,Class,Family,Scientific_name,Common_name,Taxon_author,NCA_status,EPBC_status,Significant,Confidential,Endemicity
156,1687,animals,birds,Phasianidae,Synoicus ypsilophorus,brown quail,"(Bosc, 1792)",C,,N,N,QAI
157,1963,animals,birds,Anseranatidae,Anseranas semipalmata,magpie goose,"(Latham, 1798)",C,,N,N,QAI
158,1992,animals,birds,Anatidae,Anas castanea,chestnut teal,"(Eyton, 1838)",C,,N,N,QA
159,1993,animals,birds,Anatidae,Anas gracilis,grey teal,"Buller, 1869",C,,N,N,QAI
160,1994,animals,birds,Anatidae,Anas platyrhynchos,northern mallard,"Linnaeus, 1758",,,N,N,II
161,1998,animals,birds,Anatidae,Anas superciliosa,Pacific black duck,"Gmelin, 1789",C,,N,N,QAI
162,1999,animals,birds,Anatidae,Aythya australis,hardhead,"(Eyton, 1838)",C,,N,N,QAI
163,2001,animals,birds,Anatidae,Biziura lobata,musk duck,"(Shaw, 1796)",C,,N,N,QA
164,2003,animals,birds,Anatidae,Chenonetta jubata,Australian wood duck,"(Latham, 1801)",C,,N,N,QA
165,2005,animals,birds,Anatidae,Cygnus atratus,black swan,"(Latham, 1790)",C,,N,N,QA
166,1977,animals,birds,Anatidae,Dendrocygna arcuata,wandering whistling-duck,"(Horsfield, 1824)",C,,N,N,QAI
167,1978,animals,birds,Anatidae,Dendrocygna eytoni,plumed whistling-duck,"(Eyton, 1838)",C,,N,N,QA
168,18159,animals,birds,Anatidae,Dendrocygna guttata,spotted whistling-duck,"Schlegel, 1866",C,,N,N,QAI
169,1980,animals,birds,Anatidae,Malacorhynchus membranaceus,pink-eared duck,"(Latham, 1801)",C,,N,N,QA
170,1982,animals,birds,Anatidae,Nettapus coromandelianus,cotton pygmy-goose,"(Gmelin, 1789)",C,,N,N,QAI
171,1983,animals,birds,Anatidae,Nettapus pulchellus,green pygmy-goose,"Gould, 1842",C,,N,N,QAI
172,1985,animals,birds,Anatidae,Oxyura australis,blue-billed duck,"(Gould, 1836)",C,,N,N,QA
173,1989,animals,birds,Anatidae,Radjah radjah,radjah shelduck,"(Lesson, 1828)",C,,N,N,QAI
174,1995,animals,birds,Anatidae,Spatula querquedula,garganey,"Linnaeus, 1758",SL,,Y,N,VI
175,1996,animals,birds,Anatidae,Spatula rhynchotis,Australasian shoveler,"Latham, 1801",C,,N,N,QAI
