id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,sourceStatus,status
4377621,Euphrasia orthocheila,,Euphrasia orthocheila,https://id.biodiversity.org.au/node/apni/2899275,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4377299,Samadera baileyana,,Samadera baileyana,https://id.biodiversity.org.au/node/apni/2891526,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4378476,Samadera bidwillii,Quassia,Samadera bidwillii,https://id.biodiversity.org.au/node/apni/2902902,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377591,Samadera sp. (Kennedy River J.R.Clarkson 5645),,Samadera sp. (Kennedy River J.R.Clarkson 5645),ALA_DR652_2048,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378440,Nicotiana wuttkei,,Nicotiana wuttkei,https://id.biodiversity.org.au/node/apni/2889103,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4377915,Solanum adenophorum,Hairy Nightshade,Solanum adenophorum,https://id.biodiversity.org.au/node/apni/2913118,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4378247,Solanum adoxum,,Solanum adoxum,https://id.biodiversity.org.au/taxon/apni/51294271,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377469,Solanum angustum,,Solanum angustum,https://id.biodiversity.org.au/node/apni/2918362,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4377331,Solanum callium,,Solanum spirale,https://id.biodiversity.org.au/node/apni/2904378,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378178,Solanum carduiforme,,Solanum carduiforme,https://id.biodiversity.org.au/node/apni/2897000,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377839,Solanum dissectum,,Solanum dissectum,https://id.biodiversity.org.au/node/apni/2896963,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4378530,Solanum dunalianum,,Solanum dunalianum,https://id.biodiversity.org.au/node/apni/2892728,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
