scientificName,vernacularName,status,sourceStatus
Euphrasia crassiuscula subsp. crassiuscula,Thick Eyebright,Vulnerable,Vulnerable
Euphrasia crassiuscula subsp. eglandulosa,Thick Eyebright,Vulnerable,Vulnerable
Euphrasia crassiuscula subsp. glandulifera,Thick Eyebright,Critically Endangered,Critically Endangered
Euphrasia eichleri,Bogong Eyebright,Endangered,Endangered
Euphrasia gibbsiae subsp. subglabrifolia,Baw Baw Eyebright,Endangered,Endangered
Euphrasia lasianthera,Hairy Eyebright,Endangered,Endangered
Euphrasia scabra,Rough Eyebright,Endangered,Endangered
Eupomatia laurina,Bolwarra,Endangered,Endangered
Euryomyrtus ramosissima subsp. prostrata,Nodding Baeckea,Endangered,Endangered
Ewartia nubigena,Silver Ewartia,Endangered,Endangered
Exocarpos syrticola,Coast Ballart,Endangered,Endangered
Ficus coronata,Sandpaper Fig,Critically Endangered,Critically Endangered
Fimbristylis dichotoma,Common Fringe-sedge,Endangered,Endangered
Fimbristylis velata,Veiled Fringe-sedge,Endangered,Endangered
Fissidens dealbatus,Nerveless Pocket-moss,Endangered,Endangered
Fissidens strictus,Water Pocket-moss,Endangered,Endangered
Fossombronia alata,Frillwort,Endangered,Endangered
Frankenia crispa,Hoary Sea-heath,Endangered,Endangered
Frankenia foliosa,Leafy Sea-heath,Vulnerable,Vulnerable
Frankenia serpyllifolia,Bristly Sea-heath,Vulnerable,Vulnerable
Frankenia sessilis,Small-leaf Sea-heath,Endangered,Endangered
Gahnia ancistrophylla,Donkey Saw-sedge,Critically Endangered,Critically Endangered
Gahnia grandis,Brickmaker's Sedge,Endangered,Endangered
Gahnia subaequiglumis,Bog Saw-sedge,Endangered,Endangered
Galium curvihirtum,Tight Bedstraw,Vulnerable,Vulnerable
Gaudium jingera,Stringybark Tea-tree,Endangered,Endangered
Gaudium multicaule,Silver Tea-tree,Endangered,Endangered
Gaudium trinervium,Paperbark Tea-tree,Vulnerable,Vulnerable
Gaultheria hispida,Snow-berry,Critically Endangered,Critically Endangered
Geijera parviflora,Wilga,Critically Endangered,Critically Endangered
Gentianella gunniana,Gunn's Forest-gentian,Extinct,Extinct
Gentianella muelleriana subsp. willisiana,Mt Buller Snow-gentian,Vulnerable,Vulnerable
Gentianella polysperes,Early Forest-gentian,Endangered,Endangered
Geranium brevicaule,Alpine Crane's-bill,Endangered,Endangered
Geranium neglectum,Swamp Crane's-bill,Endangered,Endangered
Geranium potentilloides var. abditum,Soft Crane's-bill,Endangered,Endangered
Geranium solanderi var. solanderi s.s.,Austral Crane's-bill,Endangered,Endangered
Geranium sp. 1,Large-flower Crane's-bill,Critically Endangered,Critically Endangered
Geranium sp. 3,Pale-flower Crane's-bill,Endangered,Endangered
Geranium sp. 6,Delicate Crane's-bill,Endangered,Endangered
Gingidia harveyana,Slender Gingidia,Endangered,Endangered
Gleichenia rupestris,Rock Coral-fern,Critically Endangered,Critically Endangered
Glossocardia bidens,Cobbler's Tack,Critically Endangered,Critically Endangered
Glossodia minor,Small Wax-lip Orchid,Endangered,Endangered
Glossostigma cleistanthum,Small-flower Mud-mat,Endangered,Endangered
Glossostigma diandrum,Spoon-leaf Mud-mat,Endangered,Endangered
